index,question,answer,response_openai,running_time_openai,score,counts,totals,precisions,bp,sys_len,ref_len,rouge1,rouge2,rougeL,rougeLsum
11,Apakah FTMM mempunyai akun media sosial?,"Media sosial Fakultas Teknologi Maju dan Multidisiplin
Instagram = @ftmmunair
Twitter = @FTMMUNAIR
Youtube = @ftmmunair
WhatsApp = +62 881-0360-00830
Email = info@ftmm.unair.ac.id
Website = ftmm.unair.ac.id.",Tentu! FTMM memiliki akun media sosial. Kamu bisa mengunjungi akun Instagram resmi FTMM di @ftmm.unair untuk mendapatkan informasi terbaru seputar kegiatan dan berita dari FTMM. Jangan lupa untuk follow ya!,3.069279909133911,5.523741916221753,"[9, 3, 2, 1]","[37, 36, 35, 34]","[24.32, 8.33, 5.71, 2.94]",0.72301571276755,37,49,0.19999999999999998,0.0689655172413793,0.16666666666666669,0.16666666666666669
12,Dimana saya bisa menghubungi FTMM?,"Media sosial Fakultas Teknologi Maju dan Multidisiplin
Instagram = @ftmmunair
Twitter = @FTMMUNAIR
Youtube = @ftmmunair
WhatsApp = +62 881-0360-00830
Email = info@ftmm.unair.ac.id
Website = ftmm.unair.ac.id.",Anda bisa menghubungi FTMM melalui email ke info@ftmm.unair.ac.id atau mengunjungi website resmi FTMM di www.ftmm.unair.ac.id.,2.3056259155273438,26.652771730733733,"[17, 15, 13, 11]","[32, 31, 30, 29]","[53.12, 48.39, 43.33, 37.93]",0.5878696731223465,32,49,0.34615384615384615,0.28,0.34615384615384615,0.34615384615384615
13,Bagaimana saya bisa melihat informasi terkait FTMM?,"Media sosial Fakultas Teknologi Maju dan Multidisiplin
Instagram = @ftmmunair
Twitter = @FTMMUNAIR
Youtube = @ftmmunair
WhatsApp = +62 881-0360-00830
Email = info@ftmm.unair.ac.id
Website = ftmm.unair.ac.id.","Untuk melihat informasi terkait FTMM, kamu bisa mengunjungi website resmi FTMM di www.ftmm.unair.ac.id. Di website tersebut, kamu akan menemukan berbagai informasi mengenai program studi, kurikulum, dosen, kegiatan, dan lain-lain. Selain itu, kamu juga bisa mengikuti akun Instagram resmi FTMM di @ftmm.unair untuk mendapatkan update terbaru seputar FTMM. Jadi, jangan lupa untuk selalu cek website dan follow akun Instagram FTMM ya!",5.905964612960815,11.487448234453996,"[16, 10, 8, 6]","[83, 82, 81, 80]","[19.28, 12.2, 9.88, 7.5]",1.0,83,49,0.1473684210526316,0.08602150537634409,0.12631578947368421,0.12631578947368421
14,Apakah FTMM memiliki chanel Youtube?,"Media sosial Fakultas Teknologi Maju dan Multidisiplin
Instagram = @ftmmunair
Twitter = @FTMMUNAIR
Youtube = @ftmmunair
WhatsApp = +62 881-0360-00830
Email = info@ftmm.unair.ac.id
Website = ftmm.unair.ac.id.","Maaf, FTMM saat ini belum memiliki channel YouTube resmi. Namun, kamu masih bisa mendapatkan informasi terbaru seputar FTMM melalui website resmi FTMM dan media sosial kami seperti Instagram dan Twitter. Jangan lupa untuk tetap mengikuti perkembangan FTMM ya!",3.3724303245544434,0.0,"[6, 0, 0, 0]","[43, 42, 41, 40]","[13.95, 0.0, 0.0, 0.0]",0.8697626821165181,43,49,0.1492537313432836,0.03076923076923077,0.11940298507462686,0.11940298507462686
15,Berapa jumlah mahasiswa FTMM?,"FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering). Mahasiswa angkatan pertama FTMM berjumlah kurang lebih 400 mahasiswa. Kami akan terus berusaha memberikan yang terbaik dalam fasilitas pendidikan, dan membuka kesempatan kepada mahasiswa kami untuk dapat berkontribusi pada kemajuan teknologi.","Maaf, saya tidak memiliki informasi terkini tentang jumlah mahasiswa FTMM. Apakah ada yang lain yang bisa saya bantu?",1.8271043300628662,0.0,"[5, 0, 0, 0]","[21, 20, 19, 18]","[23.81, 0.0, 0.0, 0.0]",0.12904178044763628,21,64,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333
16,Kenapa ada FTMM?,"FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering). Mahasiswa angkatan pertama FTMM berjumlah kurang lebih 400 mahasiswa. Kami akan terus berusaha memberikan yang terbaik dalam fasilitas pendidikan, dan membuka kesempatan kepada mahasiswa kami untuk dapat berkontribusi pada kemajuan teknologi.","FTMM hadir sebagai pilar keempat Universitas Airlangga dalam bidang keteknikan (engineering). Fakultas ini didirikan untuk melengkapi tiga pilar utama Universitas Airlangga yang terdiri dari social science, life science, dan health science. Dengan adanya FTMM, Universitas Airlangga dapat memberikan pendidikan dan kontribusi dalam bidang teknologi yang semakin berkembang. FTMM juga memberikan kesempatan kepada mahasiswa untuk berkontribusi pada kemajuan teknologi. Jadi, FTMM hadir untuk menjawab tantangan zaman dan memberikan sumbangsih kepada bangsa.",6.866603851318359,26.504990231233442,"[42, 23, 17, 12]","[81, 80, 79, 78]","[51.85, 28.75, 21.52, 15.38]",1.0,81,64,0.564516129032258,0.31147540983606553,0.435483870967742,0.435483870967742
17,FTMM mencakup di bidang apa saja di Universitas Airlangga?,"FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering). Mahasiswa angkatan pertama FTMM berjumlah kurang lebih 400 mahasiswa. Kami akan terus berusaha memberikan yang terbaik dalam fasilitas pendidikan, dan membuka kesempatan kepada mahasiswa kami untuk dapat berkontribusi pada kemajuan teknologi.","FTMM mencakup bidang keteknikan (engineering) di Universitas Airlangga. Dalam bidang ini, FTMM memiliki 5 program studi S1, yaitu Teknik Robotika dan Kecerdasan Buatan, Teknologi Sains Data, Rekayasa Nanoteknologi, Teknik Industri, dan Teknik Elektro. FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga, yaitu social science, life science, dan health science. Jadi, FTMM merupakan pilar baru di bidang keteknikan di Universitas Airlangga.",7.0771400928497314,29.49364675762642,"[32, 24, 20, 16]","[77, 76, 75, 74]","[41.56, 31.58, 26.67, 21.62]",1.0,77,64,0.45217391304347826,0.336283185840708,0.3652173913043478,0.3652173913043478
18,Tujuan didirikan FTMM?,"FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering). Mahasiswa angkatan pertama FTMM berjumlah kurang lebih 400 mahasiswa. Kami akan terus berusaha memberikan yang terbaik dalam fasilitas pendidikan, dan membuka kesempatan kepada mahasiswa kami untuk dapat berkontribusi pada kemajuan teknologi.","Tujuan didirikan FTMM adalah untuk melengkapi tiga pilar utama Universitas Airlangga, yaitu social science, life science, dan health science, dengan pilar baru di bidang keteknikan (engineering). FTMM juga bertujuan untuk memberikan fasilitas pendidikan terbaik dan membuka kesempatan kepada mahasiswa untuk berkontribusi pada kemajuan teknologi.",5.683973550796509,41.90397315069786,"[42, 29, 23, 18]","[52, 51, 50, 49]","[80.77, 56.86, 46.0, 36.73]",0.7939226578179512,52,64,0.7142857142857143,0.5,0.6938775510204083,0.6938775510204083
19,FTMM menghadirkan pilar baru dibidang apa?,"FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering). Mahasiswa angkatan pertama FTMM berjumlah kurang lebih 400 mahasiswa. Kami akan terus berusaha memberikan yang terbaik dalam fasilitas pendidikan, dan membuka kesempatan kepada mahasiswa kami untuk dapat berkontribusi pada kemajuan teknologi.",FTMM menghadirkan pilar baru di bidang keteknikan atau engineering.,1.6481561660766602,0.1995388526932864,"[8, 4, 3, 2]","[10, 9, 8, 7]","[80.0, 44.44, 37.5, 28.57]",0.004516580942612666,10,64,0.2222222222222222,0.13114754098360656,0.2222222222222222,0.2222222222222222
20,Apakah ada jurusan yang hanya ada satu di Indonesia?,"Di Fakultas Teknologi Maju dan Multidisiplin, Universitas Airlangga. Terdapat 2 program studi yang hanya ada satu di Indonesia yaitu S1 Teknik Robotika dan Kecerdasan Buatan serta S1 Rekayasa Nanoteknologi.","Ya, dalam Fakultas Teknologi Maju dan Multidisiplin (FTMM) terdapat dua program studi yang merupakan satu-satunya di Indonesia. Program studi tersebut adalah Teknik Robotika dan Kecerdasan Buatan, serta Rekayasa Nanoteknologi. Jadi, FTMM memiliki keunggulan dengan adanya program studi yang unik dan langka di Indonesia.",5.091855525970459,19.535916118909466,"[21, 13, 8, 4]","[51, 50, 49, 48]","[41.18, 26.0, 16.33, 8.33]",1.0,51,32,0.5753424657534246,0.36619718309859156,0.547945205479452,0.547945205479452
21,Program studi apa yang langka?,"Di Fakultas Teknologi Maju dan Multidisiplin, Universitas Airlangga. Terdapat 2 program studi yang hanya ada satu di Indonesia yaitu S1 Teknik Robotika dan Kecerdasan Buatan serta S1 Rekayasa Nanoteknologi.",Program studi yang langka tidak disebutkan dalam konteks yang diberikan.,1.8249001502990723,0.0,"[3, 1, 0, 0]","[11, 10, 9, 8]","[27.27, 10.0, 0.0, 0.0]",0.14821506633752016,11,32,0.15384615384615385,0.10810810810810811,0.15384615384615385,0.15384615384615385
22,Apakah di FTMM ada jurusan yang langka dan hanya ada satu di indonesia?,"Di Fakultas Teknologi Maju dan Multidisiplin, Universitas Airlangga. Terdapat 2 program studi yang hanya ada satu di Indonesia yaitu S1 Teknik Robotika dan Kecerdasan Buatan serta S1 Rekayasa Nanoteknologi.","Ya, di FTMM terdapat dua program studi yang langka dan hanya ada satu di Indonesia. Program studi tersebut adalah Teknik Robotika dan Kecerdasan Buatan, serta Rekayasa Nanoteknologi. Kedua program studi ini sangat menarik dan diminati oleh banyak siswa SMA yang ingin melanjutkan pendidikan di bidang tersebut.",4.05190372467041,18.916724136294228,"[20, 12, 8, 4]","[51, 50, 49, 48]","[39.22, 24.0, 16.33, 8.33]",1.0,51,32,0.5066666666666666,0.3287671232876712,0.48,0.48
23,Siapa pimpinan FTMM saat ini?,"Saat ini Fakultas Teknologi Maju dan Multidisiplin dipimpin oleh
Dekan = Prof. Dr. Dwi Setyawan, S.Si., M.Si., Apt
Wakil Dekan I = Dr. Nimatuzahroh, Dra.
Wakil Dekan II = Dr. Imron Mawardi, S.P., M.Si
Wakil Dekan III = Prof. Dr. Retna Apsari, M.Si
Ketua Departemen = Dr. Prihartini Widiyanti, drg., M.Kes, S. Bio, CCD.","Pimpinan FTMM saat ini adalah Dekan Prof. Dr. Dwi Setyawan, S.Si., M.Si., Apt dan Wakil Dekan I Prof. Dr. Nimatuzahroh, Dra., Wakil Dekan II Dr. Imron Mawardi, S.P., M.Si, dan Wakil Dekan III Prof. Dr. Retna Apsari, M.Si.",5.271986961364746,49.96801328337739,"[63, 50, 42, 35]","[69, 68, 67, 66]","[91.3, 73.53, 62.69, 53.03]",0.7269914372542968,69,91,0.693877551020408,0.5625000000000001,0.673469387755102,0.673469387755102
24,FTMM di pimpin oleh?,"Saat ini Fakultas Teknologi Maju dan Multidisiplin dipimpin oleh
Dekan = Prof. Dr. Dwi Setyawan, S.Si., M.Si., Apt
Wakil Dekan I = Dr. Nimatuzahroh, Dra.
Wakil Dekan II = Dr. Imron Mawardi, S.P., M.Si
Wakil Dekan III = Prof. Dr. Retna Apsari, M.Si
Ketua Departemen = Dr. Prihartini Widiyanti, drg., M.Kes, S. Bio, CCD.",FTMM dipimpin oleh seorang Dekan. Pelantikan Dekan FTMM dilakukan pada tanggal 1 Oktober 2020.,2.0301389694213867,0.0,"[6, 1, 0, 0]","[16, 15, 14, 13]","[37.5, 6.67, 0.0, 0.0]",0.00920968160396814,16,91,0.11594202898550722,0.029850746268656716,0.11594202898550722,0.11594202898550722
25,Siapa Dekan FTMM?,"Saat ini Fakultas Teknologi Maju dan Multidisiplin dipimpin oleh
Dekan = Prof. Dr. Dwi Setyawan, S.Si., M.Si., Apt
Wakil Dekan I = Dr. Nimatuzahroh, Dra.
Wakil Dekan II = Dr. Imron Mawardi, S.P., M.Si
Wakil Dekan III = Prof. Dr. Retna Apsari, M.Si
Ketua Departemen = Dr. Prihartini Widiyanti, drg., M.Kes, S. Bio, CCD.","Dekan FTMM adalah Prof. Dr. Dwi Setyawan, S.Si., M.Si., Apt.",1.6088340282440186,3.586829443502817,"[20, 17, 16, 15]","[22, 21, 20, 19]","[90.91, 80.95, 80.0, 78.95]",0.0434404764087805,22,91,0.2985074626865672,0.24615384615384614,0.26865671641791045,0.26865671641791045
