index,question,answer,response_gemini,running_time_gemini,score,counts,totals,precisions,bp,sys_len,ref_len,rouge1,rouge2,rougeL,rougeLsum
10,Di GKB FTMM ada apa saja?,"Fakultas Teknologi Maju dan Multidisiplin berlokasi di Gedung Kuliah Bersama (GKB) UNAIR Kampus C.
Lokasi : Gedung Kuliah Bersama, Jl. Dr. Ir. H. Soekarno, Mulyorejo, Kec. Mulyorejo, Surabaya, Jawa Timur 60115.
Di gedung ini, FTMM menempati lantai Ground sebagai laboratorium pendidikan, Lantai 1 sebagai ruang administrasi akademik dan kemahasiswaan, ORMAWA, serta laboratorium pendidikan. Lantai 6 sebagai ruang kelas, lantai 8 sebagai ruang dosen dan laboratorium komputer High Grade & Mid Grade. Serta lantai 10 sebagai ruang pimpinan FTMM, administrasi sarana prasarana, sdm dan keuangan, serta Research Centre Nanotechnology.","Di GKB FTMM terdapat:
- Gedung Perkuliahan
- Ruang Kelas Teater
- Ruang Kelas Reguler
- Auditorium Candradimuka
- Studio Multimedia
- Laboratorium Komputer
- Laboratorium Nanoteknologi
- Laboratorium Teknik Elektro
- Laboratorium Teknik Robotika dan Kecerdasan Buatan
- Taman Diskusi",4.190387725830078,0.0,"[6, 0, 0, 0]","[42, 41, 40, 39]","[14.29, 0.0, 0.0, 0.0]",0.18443167847025319,42,113,0.20512820512820512,0.034782608695652174,0.15384615384615385,0.17094017094017094
11,Apakah FTMM mempunyai akun media sosial?,"Media sosial Fakultas Teknologi Maju dan Multidisiplin
Instagram = @ftmmunair
Twitter = @FTMMUNAIR
Youtube = @ftmmunair
WhatsApp = +62 881-0360-00830
Email = info@ftmm.unair.ac.id
Website = ftmm.unair.ac.id.","Tentu saja! FTMM memiliki akun media sosial resmi, yaitu:
- Instagram: @ftmm_unair
- Twitter: @ftmm_unair
- Facebook: FTMM Universitas Airlangga
- Youtube: FTMM UNAIR

Jangan lupa follow akun media sosial FTMM untuk mendapatkan informasi terbaru tentang kegiatan, prestasi, dan pengumuman penting lainnya.",2.9406044483184814,0.0,"[14, 1, 0, 0]","[58, 57, 56, 55]","[24.14, 1.75, 0.0, 0.0]",1.0,58,49,0.2028985507246377,0.08955223880597014,0.17391304347826086,0.17391304347826086
12,Dimana saya bisa menghubungi FTMM?,"Media sosial Fakultas Teknologi Maju dan Multidisiplin
Instagram = @ftmmunair
Twitter = @FTMMUNAIR
Youtube = @ftmmunair
WhatsApp = +62 881-0360-00830
Email = info@ftmm.unair.ac.id
Website = ftmm.unair.ac.id.",Kamu bisa menghubungi FTMM melalui email info@ftmm.unair.ac.id atau melalui telepon di (031) 5990000.,2.872676372528076,11.954996979100287,"[10, 8, 7, 6]","[24, 23, 22, 21]","[41.67, 34.78, 31.82, 28.57]",0.35286608145884896,24,49,0.2608695652173913,0.18181818181818182,0.2173913043478261,0.2173913043478261
13,Bagaimana saya bisa melihat informasi terkait FTMM?,"Media sosial Fakultas Teknologi Maju dan Multidisiplin
Instagram = @ftmmunair
Twitter = @FTMMUNAIR
Youtube = @ftmmunair
WhatsApp = +62 881-0360-00830
Email = info@ftmm.unair.ac.id
Website = ftmm.unair.ac.id.","Hai, selamat datang di FTMM! Kamu bisa melihat informasi terkait FTMM di website resmi kami di www.ftmm.unair.ac.id. Di sana, kamu bisa menemukan berbagai informasi tentang fakultas, program studi, kegiatan mahasiswa, dan lain-lain. Jangan lupa follow akun media sosial kami juga ya, di Instagram @ftmm_unair dan Twitter @ftmm_unair. Sampai jumpa di FTMM!",3.3294286727905273,11.361141853169658,"[19, 9, 6, 5]","[76, 75, 74, 73]","[25.0, 12.0, 8.11, 6.85]",1.0,76,49,0.2298850574712644,0.11764705882352942,0.13793103448275862,0.13793103448275862
14,Apakah FTMM memiliki chanel Youtube?,"Media sosial Fakultas Teknologi Maju dan Multidisiplin
Instagram = @ftmmunair
Twitter = @FTMMUNAIR
Youtube = @ftmmunair
WhatsApp = +62 881-0360-00830
Email = info@ftmm.unair.ac.id
Website = ftmm.unair.ac.id.","Maaf, saya tidak menemukan informasi mengenai chanel Youtube FTMM dalam konteks yang diberikan.",2.278519630432129,0.0,"[2, 0, 0, 0]","[15, 14, 13, 12]","[13.33, 0.0, 0.0, 0.0]",0.10365712861152786,15,49,0.04761904761904762,0.0,0.04761904761904762,0.04761904761904762
15,Berapa jumlah mahasiswa FTMM?,"FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering). Mahasiswa angkatan pertama FTMM berjumlah kurang lebih 400 mahasiswa. Kami akan terus berusaha memberikan yang terbaik dalam fasilitas pendidikan, dan membuka kesempatan kepada mahasiswa kami untuk dapat berkontribusi pada kemajuan teknologi.","Maaf, saya tidak dapat menjawab pertanyaan tersebut karena informasi mengenai jumlah mahasiswa FTMM tidak tersedia dalam konteks yang diberikan.",2.3071587085723877,0.0,"[7, 0, 0, 0]","[21, 20, 19, 18]","[33.33, 0.0, 0.0, 0.0]",0.12904178044763628,21,64,0.136986301369863,0.0,0.0821917808219178,0.0821917808219178
16,Kenapa ada FTMM?,"FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering). Mahasiswa angkatan pertama FTMM berjumlah kurang lebih 400 mahasiswa. Kami akan terus berusaha memberikan yang terbaik dalam fasilitas pendidikan, dan membuka kesempatan kepada mahasiswa kami untuk dapat berkontribusi pada kemajuan teknologi.","FTMM hadir untuk melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering).",6.840985059738159,29.850278847458398,"[30, 27, 25, 24]","[30, 29, 28, 27]","[100.0, 93.1, 89.29, 88.89]",0.3219582715376759,30,64,0.5974025974025974,0.5333333333333334,0.5714285714285714,0.5714285714285714
17,FTMM mencakup di bidang apa saja di Universitas Airlangga?,"FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering). Mahasiswa angkatan pertama FTMM berjumlah kurang lebih 400 mahasiswa. Kami akan terus berusaha memberikan yang terbaik dalam fasilitas pendidikan, dan membuka kesempatan kepada mahasiswa kami untuk dapat berkontribusi pada kemajuan teknologi.","FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering).",3.4732255935668945,32.1958271537676,"[30, 29, 28, 27]","[30, 29, 28, 27]","[100.0, 100.0, 100.0, 100.0]",0.3219582715376759,30,64,0.5974025974025974,0.5866666666666668,0.5974025974025974,0.5974025974025974
18,Tujuan didirikan FTMM?,"FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering). Mahasiswa angkatan pertama FTMM berjumlah kurang lebih 400 mahasiswa. Kami akan terus berusaha memberikan yang terbaik dalam fasilitas pendidikan, dan membuka kesempatan kepada mahasiswa kami untuk dapat berkontribusi pada kemajuan teknologi.","FTMM didirikan dengan tujuan untuk melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering).",2.7193174362182617,31.302457600785452,"[29, 26, 25, 24]","[32, 31, 30, 29]","[90.62, 83.87, 83.33, 82.76]",0.36787944117144233,32,64,0.5569620253164557,0.49350649350649345,0.5316455696202531,0.5316455696202531
19,FTMM menghadirkan pilar baru dibidang apa?,"FTMM hadir dan melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering). Mahasiswa angkatan pertama FTMM berjumlah kurang lebih 400 mahasiswa. Kami akan terus berusaha memberikan yang terbaik dalam fasilitas pendidikan, dan membuka kesempatan kepada mahasiswa kami untuk dapat berkontribusi pada kemajuan teknologi.",FTMM menghadirkan pilar baru di bidang keteknikan (engineering).,3.3741583824157715,0.6522194524618734,"[10, 8, 7, 6]","[11, 10, 9, 8]","[90.91, 80.0, 77.78, 75.0]",0.008081467366424134,11,64,0.22580645161290322,0.16666666666666669,0.22580645161290322,0.22580645161290322
20,Apakah ada jurusan yang hanya ada satu di Indonesia?,"Di Fakultas Teknologi Maju dan Multidisiplin, Universitas Airlangga. Terdapat 2 program studi yang hanya ada satu di Indonesia yaitu S1 Teknik Robotika dan Kecerdasan Buatan serta S1 Rekayasa Nanoteknologi.","Tentu saja! Di FTMM, ada dua prodi yang merupakan satu-satunya di Indonesia, yaitu prodi Teknik Robotika dan Kecerdasan Buatan dan Rekayasa Nanoteknologi. Keren, kan?",2.045494318008423,17.972718614007036,"[16, 7, 4, 2]","[30, 29, 28, 27]","[53.33, 24.14, 14.29, 7.41]",0.9355069850316178,30,32,0.5555555555555556,0.2692307692307692,0.48148148148148145,0.48148148148148145
21,Program studi apa yang langka?,"Di Fakultas Teknologi Maju dan Multidisiplin, Universitas Airlangga. Terdapat 2 program studi yang hanya ada satu di Indonesia yaitu S1 Teknik Robotika dan Kecerdasan Buatan serta S1 Rekayasa Nanoteknologi.","Maaf, saya tidak menemukan informasi tentang program studi yang langka dalam konteks yang diberikan.",2.4179253578186035,0.0,"[5, 2, 1, 0]","[16, 15, 14, 13]","[31.25, 13.33, 7.14, 0.0]",0.36787944117144233,16,32,0.1395348837209302,0.0975609756097561,0.1395348837209302,0.1395348837209302
22,Apakah di FTMM ada jurusan yang langka dan hanya ada satu di indonesia?,"Di Fakultas Teknologi Maju dan Multidisiplin, Universitas Airlangga. Terdapat 2 program studi yang hanya ada satu di Indonesia yaitu S1 Teknik Robotika dan Kecerdasan Buatan serta S1 Rekayasa Nanoteknologi.","Tentu saja ada! Di FTMM, ada tiga program studi yang langka dan hanya ada satu di Indonesia, yaitu:

1. Teknik Robotika dan Kecerdasan Buatan
2. Rekayasa Nanoteknologi
3. Teknologi Sains Data

Ketiga prodi ini sangat diminati oleh kalangan siswa SMA yang sedang mencari dermaga perkuliahan untuk berlabuh. Jadi, kalau kamu tertarik dengan bidang-bidang tersebut, FTMM adalah pilihan yang tepat untukmu!",3.0661520957946777,13.202039873152293,"[23, 11, 7, 4]","[71, 70, 69, 68]","[32.39, 15.71, 10.14, 5.88]",1.0,71,32,0.4444444444444445,0.27272727272727276,0.37777777777777777,0.4222222222222222
23,Siapa pimpinan FTMM saat ini?,"Saat ini Fakultas Teknologi Maju dan Multidisiplin dipimpin oleh
Dekan = Prof. Dr. Dwi Setyawan, S.Si., M.Si., Apt
Wakil Dekan I = Dr. Nimatuzahroh, Dra.
Wakil Dekan II = Dr. Imron Mawardi, S.P., M.Si
Wakil Dekan III = Prof. Dr. Retna Apsari, M.Si
Ketua Departemen = Dr. Prihartini Widiyanti, drg., M.Kes, S. Bio, CCD.","Saat ini, pimpinan FTMM adalah:

* Dekan: Prof. Dr. Dwi Setyawan, S.Si., M.Si., Apt
* Wakil Dekan I: Prof. Dr. Nimatuzahroh, Dra.
* Wakil Dekan II: Dr. Imron Mawardi, S.P., M.Si
* Wakil Dekan III: Prof. Dr. Retna Apsari, M.Si",4.237219333648682,50.448421656070934,"[61, 50, 42, 35]","[74, 73, 72, 71]","[82.43, 68.49, 58.33, 49.3]",0.794748370336194,74,91,0.6875,0.574468085106383,0.6875,0.6458333333333333
24,FTMM di pimpin oleh?,"Saat ini Fakultas Teknologi Maju dan Multidisiplin dipimpin oleh
Dekan = Prof. Dr. Dwi Setyawan, S.Si., M.Si., Apt
Wakil Dekan I = Dr. Nimatuzahroh, Dra.
Wakil Dekan II = Dr. Imron Mawardi, S.P., M.Si
Wakil Dekan III = Prof. Dr. Retna Apsari, M.Si
Ketua Departemen = Dr. Prihartini Widiyanti, drg., M.Kes, S. Bio, CCD.","Dekan FTMM saat ini adalah Bapak Prof. Dr. Ir. Hery Purnobowo, M.Eng., IPU., ASEAN Eng.",3.2206366062164307,1.4129549821138316,"[15, 7, 3, 1]","[26, 25, 24, 23]","[57.69, 28.0, 12.5, 4.35]",0.0820849986238988,26,91,0.16901408450704225,0.057971014492753624,0.14084507042253522,0.14084507042253522
25,Siapa Dekan FTMM?,"Saat ini Fakultas Teknologi Maju dan Multidisiplin dipimpin oleh
Dekan = Prof. Dr. Dwi Setyawan, S.Si., M.Si., Apt
Wakil Dekan I = Dr. Nimatuzahroh, Dra.
Wakil Dekan II = Dr. Imron Mawardi, S.P., M.Si
Wakil Dekan III = Prof. Dr. Retna Apsari, M.Si
Ketua Departemen = Dr. Prihartini Widiyanti, drg., M.Kes, S. Bio, CCD.","Dekan FTMM saat ini adalah Prof. Dr. Dwi Setyawan, S.Si., M.Si., Apt. Beliau dilantik pada 1 Oktober 2020.",2.51206111907959,8.476001044465184,"[22, 17, 16, 15]","[31, 30, 29, 28]","[70.97, 56.67, 55.17, 53.57]",0.1443544030172017,31,91,0.32,0.2465753424657534,0.2933333333333334,0.2933333333333334
26,Karya apa saja yang sudah dihasilkan FTMM?,"Fakultas Teknologi Maju dan Multidisiplin telah berkontribusi dengan menghasilkan beberapa karya, seperti berikut =
a. ARTA-1 = merupakan robot yang digunakan sebagai asisten medis untuk pasien yang terpapar COVID-19.
b. ISYANA = merupakan mobile robot yang mempunyai fungsi menyemprotkan carian desinfektan pada area indor maupun outdoor.
c. ARSENIK = Merupakan teknologi smart farming yang memanfaatkan pembangkit listrik tenaga surya (PLTS) berkapasitas 900 Wp.
d. AirFeel = merupakan sistem berbasis internet of things (IoT) untuk mengukur parameter cuaca dan polutan gas di udara dengan aplikasi web berbasis HTML.","FTMM telah menghasilkan beberapa karya inovatif, di antaranya:

1. ARTA (Airlangga Robotic Triage Assistant): Robot asisten medis untuk pasien terpapar COVID-19.
2. ISYANA: Robot penyemprot cairan desinfektan dengan kamera FPV dan sensor-sensor.
3. ARSENIK: Teknologi Smart Farming memanfaatkan Pembangkit Listrik Tenaga Surya (PLTS) dan perangkat monitor online melalui internet of things (IoT).
4. ROBOT AIRO-LINE (Airlangga Robot Line Follower): Robot untuk mendukung pembelajaran STEM (Science, Technology, Engineering, Mathematics).
5. AirFeel: Sistem berbasis internet of things (IoT) untuk mengukur parameter cuaca dan polutan gas di udara dengan aplikasi web berbasis HTML.",4.498939275741577,25.135942716935656,"[51, 33, 25, 20]","[122, 121, 120, 119]","[41.8, 27.27, 20.83, 16.81]",1.0,122,100,0.5649717514124293,0.3771428571428571,0.5310734463276836,0.5310734463276836
27,FTMM sudah berkontribusi apa saja?,"Fakultas Teknologi Maju dan Multidisiplin telah berkontribusi dengan menghasilkan beberapa karya, seperti berikut =
a. ARTA-1 = merupakan robot yang digunakan sebagai asisten medis untuk pasien yang terpapar COVID-19.
b. ISYANA = merupakan mobile robot yang mempunyai fungsi menyemprotkan carian desinfektan pada area indor maupun outdoor.
c. ARSENIK = Merupakan teknologi smart farming yang memanfaatkan pembangkit listrik tenaga surya (PLTS) berkapasitas 900 Wp.
d. AirFeel = merupakan sistem berbasis internet of things (IoT) untuk mengukur parameter cuaca dan polutan gas di udara dengan aplikasi web berbasis HTML.","FTMM telah berkontribusi dalam berbagai bidang, baik nasional maupun internasional. Di tingkat internasional, mahasiswa FTMM telah berhasil meraih enam medali emas, delapan medali perak, satu medali perunggu, dan dua best company profile. Sedangkan di tingkat nasional, mahasiswa FTMM telah meraih enam medali emas, delapan medali perak, sepuluh medali perunggu, dan tujuh best presentation. Selain itu, FTMM juga berfokus pada riset teknologi berbasis kesehatan maupun multidisiplin untuk menjawab tantangan zaman.",4.150001049041748,0.0,"[15, 1, 0, 0]","[83, 82, 81, 80]","[18.07, 1.22, 0.0, 0.0]",0.8147945551343462,83,100,0.1437908496732026,0.013245033112582781,0.0784313725490196,0.0784313725490196
28,Apa itu ISYANA?,"Fakultas Teknologi Maju dan Multidisiplin telah berkontribusi dengan menghasilkan beberapa karya, seperti berikut =
a. ARTA-1 = merupakan robot yang digunakan sebagai asisten medis untuk pasien yang terpapar COVID-19.
b. ISYANA = merupakan mobile robot yang mempunyai fungsi menyemprotkan carian desinfektan pada area indor maupun outdoor.
c. ARSENIK = Merupakan teknologi smart farming yang memanfaatkan pembangkit listrik tenaga surya (PLTS) berkapasitas 900 Wp.
d. AirFeel = merupakan sistem berbasis internet of things (IoT) untuk mengukur parameter cuaca dan polutan gas di udara dengan aplikasi web berbasis HTML.",ISYANA adalah mobile robot yang berfungsi untuk menyemprotkan cairan disinfektan pada area indoor maupun outdoor. Robot ini dioperasikan dari jarak jauh menggunakan remote control RF.,4.306325912475586,0.0,"[12, 5, 2, 0]","[27, 26, 25, 24]","[44.44, 19.23, 8.0, 0.0]",0.06695706380792722,27,100,0.2018348623853211,0.07476635514018691,0.16513761467889906,0.16513761467889906
29,Lulusan FTMM mendapatkan gelar apa?,"Fakultas Teknologi Maju dan Multidisipin, Universitas Airlangga. menetapkan bahwa mahasiswa dari ke-5 program studinya pada akhir masa studinya memperoleh gelar Sarjana Teknik (S.T.).","Maaf, informasi mengenai gelar lulusan FTMM tidak tersedia dalam konteks yang diberikan.",2.1402719020843506,0.0,"[3, 0, 0, 0]","[14, 13, 12, 11]","[21.43, 0.0, 0.0, 0.0]",0.2969220257278961,14,31,0.05405405405405406,0.0,0.05405405405405406,0.05405405405405406
30,Lulusan FTMM apakah sarjana teknik?,"Fakultas Teknologi Maju dan Multidisipin, Universitas Airlangga. menetapkan bahwa mahasiswa dari ke-5 program studinya pada akhir masa studinya memperoleh gelar Sarjana Teknik (S.T.).","Tentu saja! Lulusan FTMM adalah sarjana teknik. FTMM hadir untuk melengkapi 3 pilar utama Universitas Airlangga (social science, life science, dan health science) dengan pilar baru di bidang keteknikan (engineering).",3.2712812423706055,0.0,"[8, 2, 0, 0]","[39, 38, 37, 36]","[20.51, 5.26, 0.0, 0.0]",1.0,39,31,0.1818181818181818,0.07547169811320754,0.07272727272727272,0.07272727272727272
