id,tag,query,relevant_docs,title_1,title_2
40,HFS Enginering,Apa itu kelompok penelitian Human Factor System Enginering?,"[37, 41]",HUMAN FACTOR AND SYSTEM ENGINEERING.txt,INTELLIGENT POWER AND CONTROL ENGINEERING.txt
41,Ruang lingkup HFS Enginering,Bagaimana ruang lingkup kelompok penelitian Human Factor System Enginering?,"[37, 27]",HUMAN FACTOR AND SYSTEM ENGINEERING.txt,fasilitas-penelitian.txt
42,Sumber Dana HFS Enginering,Kelompok Human Factor System Enginering mendapatkan dana dari mana?,"[37, 11]",HUMAN FACTOR AND SYSTEM ENGINEERING.txt,Bentuk Semangat Berwirausaha Melalui Dana Usaha.txt
43,AMC Research,Apa itu Advanced Manufacturing and Computational Approach?,"[0, 84]",ADVANCED MANUFACTURING AND COMPUTATIONAL APPROACH.txt,ROBOTICS AND MECHATRONICS.txt
44,Ruang lingkup AMC Research,Bagaimana ruang lingkup Advanced Manufacturing and Computational Approach?,"[0, 27]",ADVANCED MANUFACTURING AND COMPUTATIONAL APPROACH.txt,fasilitas-penelitian.txt
45,Sumber dana AMC Research,Kelompok Advanced Manufacturing and Computational Approach mendapatkan dana darimana ? ,"[0, 27]",ADVANCED MANUFACTURING AND COMPUTATIONAL APPROACH.txt,fasilitas-penelitian.txt
46,DDSS Research,Apa itu Data-Driven Decision support System?,"[18, 98]",DATA-DRIVEN DECISION SUPPORT SYSTEM.txt,Teknologi Sains Data.txt
47,Topik DDSS Research,Kelompok Data-Driven Decision support system mengajukan topik apa?,"[18, 37]",DATA-DRIVEN DECISION SUPPORT SYSTEM.txt,HUMAN FACTOR AND SYSTEM ENGINEERING.txt
48,Robotics & Mechatronics,Apa itu kelompok Robotics and Mechatronics?,"[84, 48]",ROBOTICS AND MECHATRONICS.txt,komunitas.txt
49,Bidang Robotics & Mechatronics,Kelompok Robotics and Mechatronics ada di bidang apa?,"[84, 27]",ROBOTICS AND MECHATRONICS.txt,fasilitas-penelitian.txt
50,Sumber Dana Robotics & Mechatronics,Kelompok dari Robotics and Mechatronics mendapatkan dana dari mana?,"[84, 48]",ROBOTICS AND MECHATRONICS.txt,komunitas.txt
51,"DH,CL,IS Research","Apa itu Digital Health, Computational Learning, Intelligent System?","[24, 18]","DIGITAL HEALTH, COMPUTATIONAL LEARNING, INTELLIGENT SYSTEMS.txt",DATA-DRIVEN DECISION SUPPORT SYSTEM.txt
52,"Bidang DH,CL,IS Research","Kelompok Digital Health, Compulational Learning, Intelligent System mencakup bidang apa?","[24, 18]","DIGITAL HEALTH, COMPUTATIONAL LEARNING, INTELLIGENT SYSTEMS.txt",DATA-DRIVEN DECISION SUPPORT SYSTEM.txt
53,"Sumber Dana DH,CL,IS Research",Sumber dana dari kelompok Digital Health. Compulational Learning. Intelligent didapatkan dari mana?,"[24, 18]","DIGITAL HEALTH, COMPUTATIONAL LEARNING, INTELLIGENT SYSTEMS.txt",DATA-DRIVEN DECISION SUPPORT SYSTEM.txt
54,"Publikasi DH,CL,IS Research","Publikasi apa saja yang dihasilkan dari kelompok Compulational Learning, Intelligent System?","[24, 18]","DIGITAL HEALTH, COMPUTATIONAL LEARNING, INTELLIGENT SYSTEMS.txt",DATA-DRIVEN DECISION SUPPORT SYSTEM.txt
55,R & SE Technology,Kelompok riset renewable and Sustainable Energy Tecnology bergerak di bidang apa? ,"[80, 62]",RENEWABLE AND SUSTAINABLE ENERGY TECHNOLOGY.txt,Penerapan Nanoteknologi Dalam Pengembangan Energi Biomassa.txt
56,Bidang R & SE Technology,Kelompok riset renewable and Sustainable Energy Tecnology bergerak di bidang apa? ,"[80, 62]",RENEWABLE AND SUSTAINABLE ENERGY TECHNOLOGY.txt,Penerapan Nanoteknologi Dalam Pengembangan Energi Biomassa.txt
57,IE & C Engineering,Apa itu Intelligent Power and Control Engineering ? ,"[41, 41]",INTELLIGENT POWER AND CONTROL ENGINEERING.txt,INTELLIGENT POWER AND CONTROL ENGINEERING.txt
58,Bidang IE & C Engineering,Kelompok Intelligent Power and Control Engineering  bergerak dibidang apa?,"[41, 84]",INTELLIGENT POWER AND CONTROL ENGINEERING.txt,ROBOTICS AND MECHATRONICS.txt
59,Fasilitas IE & C Engineering,Apa saja fasilitas yang ada pada kelompok Intelligent power and Control Engineering?,"[41, 28]",INTELLIGENT POWER AND CONTROL ENGINEERING.txt,fasilitas-penunjang-ftmm.txt
60,Sumber Dana IE & C Engineering,Kelompok Intelligent Power and Control Engineering mendapatkan sumber dana darimana?,"[41, 46]",INTELLIGENT POWER AND CONTROL ENGINEERING.txt,"Kembangkan Wisata, FTMM Kolaborasi dengan Bumdes Ngiroboyo Pacitan.txt"
